category,sleep,recovery,body,set,reps,weights,Duration
gain,4,4,0,1,20,13,30
loss,4,4,0,2,15,10,20
fit,4,2,1,0,3,16,21
gain,1,4,1,3,19,22,25
gain,1,1,0,0,0,5,0
gain,1,3,0,2,12,22,25
gain,3,1,0,3,6,8,24
loss,1,3,1,2,7,7,19
gain,4,3,0,2,11,6,20
fit,1,5,1,2,20,12,18
fit,1,5,1,2,18,10,20
loss,3,3,1,2,17,7,29
loss,1,4,1,0,10,9,25
fit,1,3,0,0,12,0,12
gain,1,4,1,3,3,18,24
fit,1,4,0,0,20,10,19
fit,1,1,1,2,5,4,12
fit,4,2,0,3,17,17,20
gain,1,2,1,0,2,10,0
fit,3,4,0,2,7,8,22
loss,4,5,1,2,17,13,36
gain,1,1,0,0,0,1,14
fit,1,4,0,2,9,8,18
gain,1,4,1,2,15,8,16
loss,4,1,0,2,6,1,12
gain,1,3,1,2,19,5,15
gain,4,2,1,0,0,3,0
gain,1,4,0,2,12,22,23
fit,1,1,0,2,19,10,10
gain,4,2,1,3,1,3,0
loss,4,5,1,2,20,6,15
fit,4,4,0,2,3,8,20
loss,1,3,1,2,14,8,16
loss,1,4,0,2,20,0,15
fit,1,5,0,2,9,4,14
loss,1,5,0,2,19,14,15
loss,1,4,1,2,12,8,19
loss,1,2,0,2,20,17,0
gain,1,2,1,2,17,5,32
gain,4,4,0,0,16,17,0
fit,4,4,0,3,16,22,24
fit,1,2,1,2,17,13,20
fit,4,5,1,2,20,11,12
gain,4,4,1,2,6,21,37
gain,4,4,1,0,15,16,27
fit,4,5,1,3,7,5,24
fit,1,5,0,2,13,10,16
loss,1,4,1,0,12,2,18
gain,2,2,0,0,9,8,15
gain,4,2,0,0,20,22,23
loss,1,1,0,0,0,1,0
gain,4,1,0,3,5,14,24
loss,4,5,0,2,20,2,16
fit,1,4,0,2,20,13,0
gain,4,2,0,2,16,12,21
loss,1,5,0,0,16,7,22
gain,1,5,1,2,20,22,11
loss,1,2,0,0,11,8,0
gain,2,1,1,0,4,6,0
loss,1,4,0,0,14,14,18
fit,1,2,0,0,11,4,17
fit,1,2,0,0,11,9,23
fit,3,4,0,2,18,7,17
gain,1,1,0,0,2,9,16
gain,1,2,1,2,5,6,16
fit,1,5,0,3,18,13,27
gain,4,4,1,2,19,12,23
gain,3,2,1,2,3,19,27
fit,3,3,0,2,20,10,16
gain,4,4,1,2,12,11,31
gain,1,4,0,2,7,7,18
gain,4,2,0,0,6,12,15
gain,1,4,0,2,14,16,39
loss,1,4,0,0,14,4,16
gain,4,5,0,2,20,13,15
fit,4,2,1,2,18,20,27
gain,1,1,1,0,0,2,15
loss,3,4,0,2,18,11,27
gain,1,3,0,0,11,9,22
gain,1,5,1,2,1,3,15
gain,1,2,0,2,4,7,15
loss,1,3,1,3,20,9,19
fit,4,4,1,0,18,14,16
gain,4,1,1,3,16,20,35
gain,4,5,1,2,15,22,23
loss,1,4,1,2,17,12,0
loss,1,1,1,0,0,3,2
gain,4,4,0,2,20,18,30
loss,4,1,0,2,20,6,18
fit,4,4,1,2,19,12,18
gain,3,4,0,2,13,10,19
gain,4,5,1,2,20,11,20
fit,4,2,0,0,3,9,30
fit,4,3,0,3,20,7,19
gain,1,2,0,3,16,10,6
fit,1,4,1,2,16,8,1
fit,1,4,1,2,19,17,21
gain,4,3,1,0,20,22,30
fit,1,5,1,2,20,13,16
loss,4,4,1,3,10,8,25
fit,1,5,0,2,20,13,21
loss,3,1,1,2,17,3,17
gain,4,2,0,2,14,9,19
fit,1,5,1,2,20,13,24
loss,4,2,0,0,18,1,14
gain,4,4,0,3,16,22,38
gain,4,2,0,0,11,11,0
fit,2,5,1,2,20,22,10
gain,4,2,1,0,0,7,0
loss,1,3,0,0,0,15,0
gain,1,5,1,2,6,8,0
fit,1,4,0,2,12,9,0
gain,1,1,0,2,8,7,20
loss,1,3,1,2,15,6,16
loss,1,5,0,2,7,5,0
fit,1,3,0,2,13,7,15
gain,4,1,1,3,20,14,37
loss,1,3,0,3,12,6,17
loss,1,1,1,0,4,7,26
fit,1,2,0,3,18,9,0
gain,4,1,0,3,5,21,17
fit,3,5,0,2,20,19,33
loss,1,4,0,0,10,6,16
gain,1,4,0,3,14,22,21
fit,1,4,0,2,18,8,25
gain,1,2,0,2,16,9,13
loss,1,1,1,2,20,2,22
fit,3,5,1,0,9,8,23
gain,1,4,1,2,5,16,18
gain,1,4,1,2,1,11,16
gain,2,4,1,2,13,15,22
gain,4,2,1,3,17,15,33
loss,1,2,1,2,2,5,28
fit,1,4,0,2,13,3,0
fit,2,2,0,0,9,9,10
gain,1,4,1,2,10,16,0
loss,4,5,1,0,18,16,12
gain,1,3,1,2,16,20,20
gain,1,1,0,0,11,5,13
gain,1,2,0,0,0,6,14
fit,1,4,0,2,20,6,17
gain,1,2,0,2,17,12,7
fit,2,4,0,2,20,5,21
gain,1,2,0,2,0,5,18
gain,1,5,0,2,20,18,13
gain,1,3,1,2,17,0,0
gain,1,1,1,2,2,8,12
loss,1,5,0,2,20,10,14
gain,4,4,1,2,0,7,0
gain,1,4,0,0,11,15,28
fit,1,1,1,0,13,3,0
gain,1,3,1,0,15,12,20
loss,4,2,1,2,20,10,30
fit,4,2,0,2,19,22,0
fit,1,4,1,2,19,12,26
gain,1,4,1,2,18,21,21
gain,1,4,1,2,20,8,16
fit,1,4,0,2,14,11,14
gain,1,5,0,2,0,9,24
loss,1,2,0,2,16,1,13
gain,1,3,1,2,19,7,15
gain,1,1,0,0,0,11,21
gain,1,2,0,2,16,13,19
gain,4,5,0,3,11,22,20
fit,4,4,1,2,2,17,30
gain,3,5,0,2,20,8,25
gain,1,2,0,2,11,7,13
fit,1,3,1,2,11,7,11
gain,4,1,1,0,3,6,15
gain,1,4,1,2,4,11,0
loss,1,2,1,2,0,21,14
fit,4,5,0,3,20,10,40
gain,3,4,1,2,18,18,38
gain,4,5,0,3,9,10,28
loss,2,2,1,0,7,2,19
loss,1,1,0,0,15,8,17
loss,1,2,0,2,1,1,23
loss,4,5,1,2,20,7,29
loss,1,3,0,2,12,7,19
loss,1,4,0,2,0,3,0
gain,1,2,0,2,13,8,24
gain,1,3,0,2,19,14,26
loss,4,4,0,3,20,6,23
gain,4,4,0,3,7,0,22
gain,1,3,1,2,16,6,29
gain,4,2,0,2,18,16,17
loss,1,2,0,2,7,6,14
fit,1,4,0,2,16,18,15
loss,2,4,1,2,7,0,12
gain,4,2,0,2,1,4,15
gain,4,1,0,3,11,20,0
gain,1,4,1,3,6,13,19
gain,1,1,1,2,0,12,22
loss,1,1,0,2,6,0,0
fit,1,2,0,0,14,8,14
gain,1,3,0,3,14,8,15
gain,1,4,0,2,16,15,22
fit,3,4,1,2,20,6,18
loss,4,5,0,0,20,22,24
gain,4,3,0,2,11,4,16
loss,2,4,1,2,20,9,0
fit,1,5,1,2,13,7,13
loss,4,4,1,2,20,17,22
gain,1,4,1,2,2,4,20
gain,4,4,0,0,8,10,2
gain,4,2,0,0,6,22,20
gain,1,2,1,0,0,3,0
gain,4,2,1,0,0,8,31
gain,1,5,1,0,3,7,7
fit,1,2,0,2,4,8,14
loss,1,2,0,2,19,5,16
gain,1,2,1,2,5,3,22
gain,1,4,0,2,6,4,20
loss,1,1,0,0,4,3,0
gain,4,3,1,0,13,5,17
gain,4,3,1,3,17,20,19
gain,1,2,0,0,11,3,0
fit,1,5,1,2,13,0,13
fit,1,4,0,2,0,8,0
gain,1,2,1,0,0,1,13
gain,1,2,0,2,7,6,16
loss,1,3,0,2,11,22,19
fit,1,3,0,2,0,1,0
loss,1,2,0,0,0,0,16
gain,4,2,0,0,7,9,19
gain,4,2,0,3,0,6,0
fit,1,4,1,2,1,6,0
gain,4,2,1,2,5,22,38
gain,3,2,0,0,0,12,17
gain,4,2,1,3,20,22,38
fit,1,5,0,2,18,9,13
loss,4,4,1,0,2,3,23
gain,4,2,1,2,11,16,17
loss,4,1,0,2,12,8,17
gain,1,4,0,0,2,8,13
loss,1,5,1,2,17,21,28
fit,1,5,0,2,11,15,20
loss,1,1,1,2,1,7,0
fit,1,5,0,0,10,6,16
fit,1,5,0,2,12,9,2
gain,1,1,1,3,12,11,0
gain,3,3,1,3,19,12,34
loss,4,4,1,2,18,11,35
gain,3,2,0,2,11,22,17
gain,1,4,0,3,17,12,14
loss,1,1,1,0,16,8,31
gain,4,4,0,0,5,22,24
fit,1,1,0,2,6,1,0
fit,2,4,1,3,20,12,21
gain,4,4,0,3,7,10,19
fit,1,5,1,2,20,14,25
loss,1,5,0,2,3,15,17
fit,4,4,1,2,17,13,21
gain,4,1,1,2,15,6,21
loss,2,1,0,2,14,6,17
loss,1,3,0,2,16,11,20
gain,4,2,0,2,18,15,17
fit,1,1,0,0,4,0,12
gain,4,5,1,0,19,16,25
loss,1,5,0,2,17,9,15
loss,1,5,0,2,8,0,11
fit,1,5,0,2,19,11,18
gain,1,5,0,0,20,16,25
gain,4,2,0,2,18,13,22
gain,4,4,0,2,13,9,24
gain,4,2,0,0,7,9,23
gain,1,5,0,2,11,14,16
loss,3,4,1,2,20,8,23
loss,1,4,0,2,18,2,20
fit,2,4,0,2,11,13,0
loss,1,5,1,3,20,22,30
gain,1,1,0,0,0,0,0
loss,3,1,1,0,5,0,18
fit,4,2,0,3,16,22,29
fit,1,4,1,2,15,5,23
gain,1,4,1,3,12,11,0
fit,1,3,0,2,20,4,17
fit,1,3,0,3,11,10,12
loss,1,4,1,2,1,0,14
fit,1,2,0,2,15,15,20
gain,1,4,0,3,8,14,20
fit,1,3,0,0,6,10,19
loss,1,3,1,0,10,2,13
loss,4,3,0,2,16,12,24
fit,1,5,1,0,18,22,20
loss,1,3,0,2,18,7,23
loss,1,3,0,2,13,3,14
gain,1,1,0,2,10,4,15
fit,1,4,0,2,13,3,16
loss,1,4,1,2,1,11,31
fit,4,2,1,2,19,15,20
fit,1,5,1,2,20,11,16
gain,4,3,1,3,17,11,24
gain,4,3,0,1,12,5,18
fit,1,3,0,2,18,11,19
fit,4,5,1,2,20,7,1
fit,4,4,1,0,15,16,25
fit,1,4,0,2,19,9,21
gain,4,5,1,3,20,22,40
loss,1,4,0,2,20,6,13
fit,1,1,1,2,17,7,14
gain,4,4,1,3,12,22,40
loss,1,4,0,2,11,4,20
gain,4,5,1,2,17,14,34
fit,4,2,0,2,2,6,0
gain,4,3,1,2,9,11,29
fit,4,4,1,0,20,17,25
gain,4,2,0,2,14,6,22
gain,1,5,0,3,17,22,32
gain,1,1,1,2,0,6,8
fit,1,1,1,2,20,5,29
loss,2,4,1,2,11,0,10
fit,4,5,1,0,9,22,20
fit,1,4,0,0,7,6,16
loss,3,2,0,0,16,10,2
gain,4,5,1,2,19,22,35
gain,1,2,0,2,14,11,21
gain,1,1,1,2,17,22,35
gain,1,3,1,2,19,4,19
fit,1,2,0,2,1,2,12
fit,3,5,1,2,13,9,17
fit,1,4,0,0,16,4,13
gain,1,2,0,2,2,2,0
gain,1,1,1,0,0,1,12
gain,1,1,1,2,11,12,27
loss,1,2,0,2,0,0,0
gain,2,3,0,2,13,6,16
gain,4,1,1,2,14,20,0
fit,1,4,1,2,8,0,14
loss,1,5,0,0,20,2,13
gain,1,2,0,2,19,7,18
gain,1,3,1,2,16,12,15
fit,1,1,0,2,5,1,13
fit,1,1,1,0,13,1,0
gain,1,3,1,3,1,5,17
fit,1,3,0,0,11,3,14
fit,4,5,0,2,20,22,34
gain,1,4,0,0,4,9,16
gain,1,1,1,0,0,9,18
fit,1,4,0,2,0,4,20
loss,1,5,0,2,16,7,14
gain,4,4,0,2,9,10,21
gain,4,1,1,0,2,1,0
fit,1,4,0,2,16,22,14
loss,1,3,1,2,6,8,0
gain,1,4,0,2,11,7,17
fit,1,3,0,2,6,4,0
fit,2,4,1,3,20,4,21
fit,1,4,1,2,20,9,26
fit,1,1,0,0,0,5,0
loss,1,2,0,2,4,0,12
gain,1,2,0,2,15,8,17
fit,3,2,1,0,0,5,15
loss,2,4,1,2,16,8,0
loss,1,3,1,2,0,0,14
loss,1,1,0,2,0,0,15
loss,1,4,0,2,20,4,21
fit,1,3,1,3,0,4,15
gain,4,5,1,3,20,22,38
gain,1,4,0,0,5,0,12
loss,3,5,0,2,6,0,12
loss,4,1,0,0,2,0,15
gain,1,4,1,2,2,6,0
gain,4,4,0,2,12,15,28
fit,1,4,0,3,2,10,18
fit,1,3,0,2,15,12,13
fit,3,5,0,3,19,14,7
gain,1,1,1,0,3,4,17
gain,1,1,0,0,0,0,0
loss,3,3,0,0,7,2,0
fit,1,2,1,2,19,10,16
fit,1,4,1,0,8,6,24
fit,1,2,0,0,0,2,14
fit,4,5,0,2,10,10,20
loss,1,3,1,0,13,7,16
gain,4,5,0,3,15,15,36
gain,4,3,1,3,16,8,26
gain,1,1,1,2,10,4,18
fit,1,4,1,0,20,6,34
gain,1,2,0,0,3,4,0
gain,4,5,0,3,20,13,31
fit,1,1,1,2,19,7,18
gain,4,4,0,2,9,6,16
loss,3,1,0,0,11,0,14
gain,1,3,1,2,14,2,20
fit,3,5,0,2,19,19,19
fit,1,1,1,2,12,2,13
fit,4,5,0,2,19,9,5
gain,1,4,0,2,15,15,27
loss,1,1,1,0,0,4,0
fit,4,1,0,2,8,5,22
fit,1,4,0,2,6,4,0
fit,2,4,1,2,9,12,20
gain,1,3,1,0,13,18,25
gain,1,4,0,2,0,9,18
gain,1,1,0,1,0,9,18
gain,4,1,0,0,9,16,2
fit,1,4,0,2,14,9,16
fit,1,1,0,0,12,5,0
loss,1,2,0,2,20,9,19
fit,1,4,1,2,17,10,14
fit,1,5,0,2,14,7,0
gain,4,1,0,0,0,20,24
loss,1,1,1,2,16,18,0
gain,3,2,1,3,12,9,19
fit,4,5,1,2,20,11,18
loss,1,5,0,0,18,14,20
fit,1,1,0,2,5,11,15
gain,4,4,1,2,20,22,32
gain,4,2,0,2,20,10,19
loss,4,3,1,0,0,4,19
fit,4,3,1,0,14,15,28
gain,1,4,0,0,4,7,17
fit,1,4,0,2,11,7,15
gain,4,3,1,3,20,11,39
fit,1,4,0,2,9,7,18
loss,1,1,0,0,7,2,14
fit,1,2,0,0,1,7,13
fit,1,4,1,3,17,15,13
fit,1,4,1,2,11,11,19
loss,1,4,1,3,13,9,0
loss,1,4,1,2,13,7,23
fit,1,1,0,2,5,4,0
fit,2,2,0,2,15,5,12
loss,1,3,0,2,18,5,15
gain,1,4,0,0,12,9,26
fit,1,5,0,2,20,16,25
loss,1,3,1,2,6,2,19
gain,1,4,1,2,16,9,17
loss,1,4,1,2,2,8,16
fit,4,5,1,3,20,22,32
gain,1,5,0,2,20,7,16
fit,1,5,1,3,1,8,26
gain,4,5,0,3,20,22,30
loss,1,4,1,2,20,13,32
gain,1,5,0,2,2,8,6
gain,4,4,1,2,16,12,18
loss,1,5,1,2,18,4,18
gain,2,2,0,2,12,8,12
loss,1,4,1,2,20,10,23
fit,3,2,0,2,2,11,20
fit,4,2,1,2,15,8,30
gain,1,3,1,2,10,17,20
fit,1,4,0,2,4,1,11
fit,1,4,1,2,9,9,21
loss,1,2,0,2,0,2,12
loss,4,3,1,0,7,7,20
